frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,tracks,raw_messages,context_messages,message,reason
347,39.162,105.75,9.46,54.8,16.1,55.4,1,3,3,0,,
348,39.27,106.5,9.39,56.8,16.1,56.5,1,3,3,0,,
349,39.38,106.58,9.38,53.5,16.1,56.0,1,3,3,0,,
350,39.489,106.76,9.37,55.8,16.1,56.0,1,2,2,0,,
351,39.598,106.77,9.37,52.5,16.1,56.0,1,1,1,0,,
352,39.708,106.53,9.39,55.8,16.1,56.0,1,1,1,0,,
353,39.817,107.97,9.26,53.7,16.1,54.9,1,1,1,0,,
354,39.928,106.5,9.39,54.8,16.1,56.5,2,2,2,0,,
355,40.037,106.81,9.36,53.7,16.1,56.0,2,2,2,0,,
356,40.146,106.06,9.43,56.8,16.1,55.4,2,2,2,0,,
357,40.255,106.66,9.38,54.8,16.1,56.5,2,2,2,0,,
358,40.365,107.12,9.34,55.6,16.1,55.4,2,2,2,0,,
359,40.474,106.37,9.4,56.8,16.1,56.0,2,2,2,0,,
360,40.583,106.55,9.39,55.8,16.1,56.0,3,3,3,0,,
361,40.693,107.64,9.29,57.8,16.1,56.5,3,3,3,0,,
362,40.803,106.48,9.39,51.3,16.1,54.9,3,3,3,0,,
363,40.913,106.93,9.35,57.8,16.1,55.4,4,4,4,0,,
364,41.024,106.36,9.4,53.5,16.1,56.0,3,4,4,0,,
365,41.133,106.33,9.4,55.8,16.1,56.5,3,4,4,0,,
366,41.242,106.26,9.41,57.8,16.1,54.9,3,5,5,0,,
367,41.351,106.08,9.43,55.8,16.1,56.5,1,5,5,0,,
368,41.46,106.73,9.37,54.8,16.1,55.4,1,5,5,0,,
369,41.569,106.73,9.37,54.8,16.1,54.9,1,5,5,0,,
370,41.679,106.34,9.4,54.8,16.1,55.4,1,5,5,0,,
371,41.788,113.06,8.85,60.9,16.1,55.4,1,5,5,0,,
372,41.903,108.01,9.26,53.7,16.1,54.3,3,7,7,0,,
373,42.116,105.49,9.48,29.8,16.1,55.4,2,7,7,0,,
