frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,tracks,raw_messages,context_messages,message,reason
343,38.657,105.09,9.52,54.8,16.1,56.0,2,3,3,0,,
344,38.765,105.42,9.49,54.8,16.1,56.0,2,3,3,0,,
345,38.873,105.3,9.5,55.8,16.1,56.0,2,3,3,0,,
346,38.981,105.55,9.47,54.8,16.1,55.4,2,3,3,0,,
347,39.089,106.6,9.38,54.8,16.1,56.0,2,3,3,0,,
348,39.198,106.72,9.37,56.8,16.1,55.4,2,2,2,0,,
349,39.308,106.65,9.38,54.8,16.1,56.5,2,2,2,0,,
350,39.417,107.0,9.35,56.8,16.0,56.5,2,2,2,2,person on the left | cup on the right,cooldown | cooldown
351,39.527,106.95,9.35,52.5,16.0,56.5,2,2,2,0,,
352,39.637,107.26,9.32,56.5,16.0,54.9,2,2,2,0,,
353,39.746,106.88,9.36,57.8,16.0,55.4,2,2,2,0,,
354,39.856,106.62,9.38,54.8,16.1,55.4,2,2,2,0,,
355,39.965,107.01,9.34,54.8,16.0,55.4,2,2,2,0,,
356,40.075,106.73,9.37,56.8,16.0,55.4,2,2,2,0,,
357,40.186,107.36,9.31,57.4,16.0,55.4,2,2,2,0,,
358,40.297,106.35,9.4,57.8,16.0,56.0,2,2,2,0,,
359,40.406,106.19,9.42,53.7,16.1,56.0,2,2,2,0,,
360,40.515,106.96,9.35,52.4,16.1,54.9,2,2,2,0,,
361,40.625,107.2,9.33,56.8,16.1,56.5,2,2,2,0,,
362,40.734,106.23,9.41,58.7,16.1,56.0,2,2,2,0,,
363,40.843,107.48,9.3,55.8,16.1,56.0,2,2,2,0,,
364,40.953,106.51,9.39,57.8,16.0,56.5,2,2,2,0,,
365,41.063,106.6,9.38,56.8,16.0,55.4,2,2,2,0,,
366,41.172,107.5,9.3,54.8,16.0,56.5,2,2,2,0,,
367,41.282,106.19,9.42,52.4,16.0,56.0,2,2,2,0,,
368,41.392,106.25,9.41,56.8,16.0,56.0,2,2,2,0,,
369,41.501,106.06,9.43,57.8,16.0,54.9,2,2,2,0,,
