frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,active_tracks,track_ids
297,34.301,107.62,9.29,57.4,16.0,54.9,1,1,[1]
298,34.411,108.11,9.25,57.8,16.0,56.0,1,1,[1]
299,34.522,109.92,9.1,57.4,16.0,54.9,1,1,[1]
300,34.635,108.35,9.23,52.4,16.0,55.4,1,1,[1]
301,34.746,108.06,9.25,53.5,16.0,56.0,1,1,[1]
302,34.858,108.22,9.24,55.6,16.0,54.9,1,1,[1]
303,34.968,108.37,9.23,55.6,16.0,54.3,1,1,[1]
304,35.08,108.43,9.22,55.6,16.0,54.9,1,1,[1]
305,35.191,107.66,9.29,53.5,16.0,54.3,2,2,"[1, 18]"
306,35.301,108.35,9.23,56.5,16.0,54.9,1,2,"[1, 18]"
307,35.412,108.35,9.23,57.8,16.0,54.3,2,3,"[1, 18, 19]"
308,35.523,110.07,9.09,53.3,16.0,54.9,2,3,"[1, 18, 19]"
309,35.636,114.59,8.73,57.8,16.0,55.4,3,3,"[1, 18, 19]"
310,35.753,107.92,9.27,57.4,16.0,54.3,3,3,"[1, 18, 19]"
311,35.865,108.66,9.2,56.5,16.0,54.3,3,3,"[1, 18, 19]"
312,35.977,108.91,9.18,54.5,16.0,54.9,2,3,"[1, 18, 19]"
313,36.088,107.58,9.3,57.8,16.0,55.4,2,3,"[1, 18, 19]"
314,36.199,107.95,9.26,51.2,16.0,55.4,2,3,"[1, 18, 19]"
315,36.309,108.36,9.23,55.6,16.0,54.9,2,3,"[1, 18, 19]"
316,36.421,108.87,9.19,55.6,16.0,55.4,2,3,"[1, 18, 19]"
317,36.532,109.69,9.12,55.6,16.0,55.4,2,3,"[1, 18, 19]"
318,36.645,111.01,9.01,55.6,16.0,54.9,3,3,"[1, 18, 19]"
319,36.758,107.83,9.27,54.5,16.0,55.4,3,3,"[1, 18, 19]"
320,36.87,108.61,9.21,56.5,16.0,55.4,2,3,"[1, 18, 19]"
321,36.981,110.07,9.08,56.5,16.0,55.4,2,3,"[1, 18, 19]"
322,37.094,108.15,9.25,57.4,16.0,54.3,2,3,"[1, 18, 19]"
323,37.205,107.94,9.26,56.5,16.0,54.3,2,3,"[1, 18, 19]"
324,37.316,107.35,9.31,51.2,16.0,54.9,1,3,"[1, 18, 19]"
325,37.426,108.77,9.19,57.4,16.0,54.3,2,3,"[1, 18, 19]"
326,37.537,108.95,9.18,59.2,16.0,54.9,2,3,"[1, 18, 19]"
327,37.649,108.38,9.23,58.7,16.0,54.9,1,3,"[1, 18, 19]"
328,37.76,108.35,9.23,54.5,16.0,54.9,1,3,"[1, 18, 19]"
329,37.872,108.17,9.24,54.3,16.0,55.4,1,3,"[1, 18, 19]"
330,37.983,108.09,9.25,54.8,16.0,54.9,1,3,"[1, 18, 19]"
331,38.094,108.85,9.19,54.5,16.0,54.3,1,3,"[1, 18, 19]"
332,38.206,108.43,9.22,52.4,16.0,54.3,2,3,"[1, 18, 19]"
333,38.317,107.89,9.27,56.5,16.0,54.9,1,3,"[1, 18, 19]"
334,38.427,108.37,9.23,53.5,16.0,55.4,1,3,"[1, 18, 19]"
335,38.538,108.69,9.2,53.7,16.0,55.4,1,3,"[1, 18, 19]"
336,38.65,107.98,9.26,57.4,16.0,54.9,1,2,"[1, 18]"
337,38.761,108.27,9.24,55.6,16.0,54.3,1,2,"[1, 18]"
338,38.873,108.33,9.23,55.6,16.0,55.4,1,2,"[1, 18]"
339,38.984,108.41,9.22,54.5,16.0,55.4,1,2,"[1, 18]"
340,39.095,107.86,9.27,53.5,16.0,54.9,1,2,"[1, 18]"
341,39.205,108.72,9.2,58.3,16.0,55.4,1,2,"[1, 18]"
342,39.317,108.04,9.26,57.4,16.0,54.9,1,2,"[1, 18]"
343,39.428,108.5,9.22,55.8,16.0,56.0,1,1,[1]
344,39.539,109.71,9.11,55.3,16.0,55.4,2,2,"[1, 20]"
345,39.651,108.12,9.25,56.8,16.0,56.0,1,2,"[1, 20]"
346,39.762,108.6,9.21,55.6,16.0,55.4,1,2,"[1, 20]"
