frame,time_s,latency_ms,fps,cpu_percent,ram_percent,temperature_c,detections,tracks,raw_messages,context_messages,message,reason
304,34.246,104.75,9.55,60.0,16.1,54.9,0,1,1,0,,
305,34.354,105.59,9.47,57.8,16.0,53.8,1,1,1,0,,
306,34.462,105.76,9.46,58.7,16.0,54.9,1,1,1,0,,
307,34.571,106.87,9.36,56.8,16.0,54.9,1,1,1,0,,
308,34.68,106.06,9.43,53.7,16.0,54.9,0,1,1,0,,
309,34.789,105.24,9.5,52.5,16.0,55.4,0,1,1,0,,
310,34.897,105.7,9.46,54.8,16.0,54.9,0,1,1,0,,
311,35.005,106.24,9.41,58.7,16.0,55.4,2,3,3,0,,
312,35.114,106.16,9.42,56.8,16.0,53.8,1,3,3,0,,
313,35.223,105.48,9.48,58.7,16.0,54.9,0,3,3,0,,
314,35.331,106.07,9.43,58.7,16.0,54.9,1,3,3,0,,
315,35.44,105.07,9.52,56.8,16.0,54.9,0,3,3,0,,
316,35.548,105.34,9.49,57.8,16.0,54.3,1,4,4,0,,
317,35.656,106.84,9.36,51.3,16.0,55.4,1,4,4,0,,
318,35.765,105.29,9.5,52.5,16.0,54.9,1,3,3,0,,
319,35.873,105.96,9.44,55.8,16.0,55.4,1,3,3,0,,
320,35.982,104.86,9.54,57.1,16.0,54.9,1,3,3,0,,
321,36.089,105.44,9.48,59.6,16.0,54.9,2,4,4,0,,
322,36.197,104.95,9.53,56.8,16.0,54.9,1,3,3,0,,
323,36.305,105.07,9.52,54.8,16.0,55.4,1,3,3,0,,
324,36.413,104.59,9.56,52.5,16.0,54.3,0,3,3,0,,
325,36.52,104.72,9.55,57.8,16.0,54.9,0,3,3,0,,
326,36.628,106.05,9.43,56.8,16.0,54.9,0,3,3,0,,
327,36.736,105.14,9.51,56.1,16.0,54.9,2,3,3,0,,
328,36.844,105.88,9.44,54.8,16.0,54.9,2,3,3,0,,
329,36.953,111.03,9.01,62.5,16.0,54.9,1,3,3,0,,
330,37.066,105.56,9.47,57.8,16.0,54.3,1,3,3,0,,
331,37.175,105.78,9.45,57.8,16.0,54.9,1,3,3,0,,
332,37.283,105.93,9.44,58.7,16.0,56.0,1,2,2,0,,
333,37.392,105.27,9.5,57.8,16.0,55.4,1,2,2,0,,
334,37.5,105.4,9.49,58.1,16.1,56.0,1,2,2,0,,
335,37.608,106.43,9.4,57.8,16.1,55.4,1,2,2,0,,
336,37.717,106.19,9.42,58.7,16.1,55.4,1,2,2,1,person on the left,new_object
337,37.826,106.39,9.4,56.8,16.1,56.5,2,3,3,0,,
338,37.935,107.54,9.3,57.8,16.1,56.0,1,3,3,0,,
339,38.045,105.32,9.49,53.7,16.1,56.0,1,2,2,0,,
340,38.153,104.95,9.53,54.8,16.1,54.9,1,2,2,0,,
341,38.261,106.09,9.43,55.8,16.1,54.3,1,2,2,0,,
342,38.37,105.48,9.48,58.7,16.1,54.9,1,2,2,0,,
343,38.478,105.49,9.48,59.1,16.1,55.4,1,2,2,0,,
344,38.586,106.22,9.41,57.8,16.1,56.0,1,2,2,0,,
345,38.695,105.25,9.5,52.5,16.1,55.4,1,2,2,0,,
346,38.803,104.94,9.53,54.8,16.1,55.4,1,2,2,1,person ahead,position_changed
347,38.91,105.41,9.49,57.8,16.1,55.4,1,2,2,0,,
348,39.018,105.28,9.5,58.7,16.1,56.0,1,1,1,0,,
349,39.126,105.32,9.49,56.8,16.1,55.4,1,1,1,0,,
350,39.234,105.99,9.43,57.8,16.1,55.4,1,1,1,0,,
351,39.343,106.38,9.4,56.8,16.1,56.0,1,1,1,0,,
352,39.452,105.01,9.52,55.8,16.0,55.4,1,1,1,0,,
353,39.56,106.31,9.41,55.8,16.0,54.9,1,1,1,0,,
354,39.67,105.11,9.51,56.8,16.0,56.0,1,1,1,0,,
355,39.778,105.29,9.5,55.8,16.0,56.0,1,1,1,0,,
356,39.886,105.7,9.46,58.7,16.0,54.9,1,1,1,0,,
357,39.994,104.55,9.56,57.8,16.0,54.9,1,1,1,0,,
358,40.101,105.51,9.48,57.8,16.0,55.4,1,1,1,0,,
359,40.209,104.96,9.53,53.7,16.0,56.0,1,1,1,0,,
360,40.317,105.47,9.48,53.8,16.0,55.4,1,1,1,1,person on the left,position_changed
361,40.425,106.09,9.43,56.8,16.0,55.4,1,1,1,0,,
362,40.534,105.33,9.49,56.8,16.0,55.4,1,1,1,0,,
363,40.642,106.5,9.39,56.8,16.0,56.0,1,1,1,0,,
364,40.752,105.01,9.52,56.8,16.0,55.4,1,1,1,0,,
365,40.86,105.22,9.5,56.8,16.0,56.0,1,1,1,0,,
366,40.968,105.29,9.5,55.8,16.0,55.4,1,1,1,0,,
367,41.076,105.7,9.46,55.8,16.0,56.0,1,1,1,0,,
368,41.184,105.14,9.51,56.8,16.0,56.0,1,1,1,0,,
369,41.292,105.2,9.51,54.8,16.0,56.0,1,1,1,0,,
370,41.4,105.6,9.47,56.8,16.0,56.0,1,1,1,1,person on the right,position_changed
371,41.508,105.44,9.48,56.1,16.0,55.4,1,1,1,0,,
372,41.616,106.61,9.38,54.8,16.0,56.5,1,1,1,0,,
373,41.725,105.74,9.46,55.8,16.0,56.0,1,1,1,0,,
374,41.834,105.87,9.45,57.8,16.0,56.0,1,1,1,0,,
375,41.942,110.49,9.05,60.0,16.0,56.0,2,2,2,0,,
376,42.056,105.56,9.47,56.8,16.1,56.0,1,2,2,0,,
