frame,timestamp,fps,latency_ms,cpu_percent,detections_count,active_tracks,track_ids,labels,directions,proximities,risk_scores,missing_tracks
288,1778953273.89,11.57,85.84,60.0,1,1,17,person,right,0.31,0.38,1
289,1778953273.97,11.69,84.88,57.6,1,1,17,person,right,0.31,0.39,1
290,1778953274.06,11.48,86.51,62.2,2,2,"17,18","person,tv","right,center","0.33,0.23","0.41,0.17",0
291,1778953274.14,11.63,85.37,57.6,2,2,"17,18","person,tv","right,center","0.35,0.23","0.42,0.17",0
292,1778953274.23,11.69,84.95,58.8,2,2,"17,18","person,tv","right,center","0.36,0.23","0.42,0.17",0
293,1778953274.32,11.6,85.57,57.6,2,2,"17,18","person,tv","right,center","0.37,0.22","0.43,0.17",0
294,1778953274.4,11.64,85.27,58.8,2,2,"17,18","person,tv","right,center","0.38,0.22","0.43,0.17",0
295,1778953274.49,11.62,85.46,62.2,2,2,"17,18","person,tv","right,center","0.39,0.23","0.43,0.18",0
296,1778953274.58,11.64,85.24,56.3,2,2,"17,18","person,tv","right,center","0.39,0.24","0.43,0.18",0
297,1778953274.66,11.6,85.52,63.2,1,1,17,person,right,0.39,0.43,1
298,1778953274.75,11.57,85.82,57.6,2,2,"17,18","person,tv","right,center","0.39,0.22","0.44,0.17",0
299,1778953274.83,11.74,84.59,58.8,1,1,17,person,right,0.4,0.44,1
300,1778953274.92,11.52,86.17,56.2,2,2,"17,18","person,tv","right,center","0.4,0.22","0.43,0.17",0
301,1778953275.01,11.52,86.19,57.6,2,2,"17,18","person,tv","right,center","0.39,0.22","0.43,0.17",0
302,1778953275.09,11.71,84.8,61.1,1,1,17,person,right,0.39,0.42,1
303,1778953275.18,11.59,85.7,56.3,1,1,17,person,right,0.39,0.42,1
304,1778953275.27,11.66,85.11,58.8,2,2,"17,18","person,tv","right,center","0.39,0.21","0.41,0.17",0
