frame,timestamp,fps,latency_ms,cpu_percent,detections_count,active_tracks,track_ids,labels,directions,proximities,risk_scores,missing_tracks
304,1778953530.55,11.69,84.85,57.6,1,1,7,microwave,right,0.3,0.21,0
305,1778953530.63,11.7,84.79,56.3,1,1,7,microwave,right,0.3,0.21,0
306,1778953530.72,11.59,85.54,59.5,1,1,7,microwave,right,0.3,0.21,0
307,1778953530.8,11.73,84.58,54.8,1,1,7,microwave,right,0.3,0.21,0
308,1778953530.89,11.61,85.43,60.0,1,1,7,microwave,right,0.29,0.21,0
309,1778953530.98,11.7,84.8,56.2,1,1,7,microwave,right,0.3,0.21,0
310,1778953531.06,11.29,87.86,62.2,1,1,7,microwave,right,0.3,0.21,0
311,1778953531.15,11.57,85.74,58.8,1,1,7,microwave,right,0.3,0.21,0
312,1778953531.24,11.58,85.64,60.5,1,1,7,microwave,right,0.3,0.21,0
313,1778953531.32,11.65,85.15,54.8,1,1,7,microwave,right,0.3,0.21,0
314,1778953531.41,11.56,85.78,58.8,1,1,7,microwave,right,0.3,0.21,0
315,1778953531.5,11.68,84.96,62.2,1,1,7,microwave,right,0.3,0.21,0
316,1778953531.58,11.62,85.35,58.8,1,1,7,microwave,right,0.3,0.21,0
317,1778953531.67,11.58,85.64,58.8,1,1,7,microwave,right,0.3,0.21,0
318,1778953531.76,11.67,84.96,58.8,0,0,,,,,,1
319,1778953531.84,11.6,85.53,59.5,0,0,,,,,,1
320,1778953531.93,11.65,85.16,54.8,0,0,,,,,,1
321,1778953532.02,11.38,87.15,58.8,1,1,7,microwave,right,0.29,0.21,0
322,1778953532.1,11.6,85.51,57.6,1,1,7,microwave,right,0.3,0.21,0
323,1778953532.19,11.71,84.73,57.6,0,0,,,,,,1
324,1778953532.27,11.61,85.43,57.6,1,1,7,microwave,right,0.29,0.21,0
325,1778953532.36,11.67,84.96,60.0,0,0,,,,,,1
326,1778953532.45,11.62,85.31,57.6,1,1,7,microwave,right,0.3,0.21,0
327,1778953532.53,11.64,85.23,62.2,1,1,7,microwave,right,0.3,0.21,0
328,1778953532.62,11.68,84.9,57.6,0,0,,,,,,1
329,1778953532.71,11.65,85.09,61.1,1,1,7,microwave,right,0.3,0.21,0
